,Repository Information,,,Author Information,,,,,,,,,,,Literary Text Information,,,,Information about the Fiction,,,,,,
Anklam_Louise_Kindergeschichten_Der_Wunderdoktor.txt,10,42,gutenberg,Louise,Anklam,Louise Anklam,-,Louise Anklam,Deutschland,NA,NA,female,geb. in Posen; Kindergeschichten,125905726,Der Wunderdoktor,Anklam_Louise_Kindergeschichten_Der_Wunderdoktor.txt,1898,Erzählung,ja,Töchterschule,ja,eine Semmel lag ; mit den Kränzen und Girlanden fertig waren und das Stübchen der geliebten Lehrerin festlich geschmückt; ,Deutschland,5472,4760
Annecke_Fritz_Der_verehrter_Herr.txt,11,0,gartenlaube,Carl Friedrich Theodor,Anneke,Carl Friedrich Theodor Anneke,Fritz Annecke,Fritz Anneke,Deutschland,1818,1872,male,"geb. in Dortmund, gest. in Chicago, Illinois; deutscher Revolutionär, preußischer und US-amerikanischer Offizier; Mitbegründer des Kölner Arbeitervereins; nach Emigration in die USA Republikanische Partei von Abraham Lincoln",118649523,"Der ""verehrter Herr""",Annecke_Fritz_Der_verehrter_Herr.txt,1861,Erzählung,ja,Gegen Ende der dreißiger Jahre,ja,Die preußischen Militair-Auditeure,Deutschland,2739,2421
Anzengruber_Ludwig_Der_Sternsteinhof.txt,12,47,textgrid,Ludwig,Anzengruber,Ludwig Anzengruber,Ludwig Gruber,Ludwig Anzengruber,Österreich,1839,1889,male,"geb. im Wien, gest. in Wien;  bedeutender realistischer Dramatiker",11850357X ,Der Sternsteinhof,Anzengruber_Ludwig_Der_Sternsteinhof.txt,1884,Roman,ja,Bahnhof,ja,Ort der Handlung ist das fiktive österreichische Dorf Zwischenbühel (wikipedia),Österreich,103915,88764
Anzengruber_Ludwig_Dorfgaenge_ Die_Märchen_des_Steinklopferhanns.txt,13,49,gutenberg,Ludwig,Anzengruber,Ludwig Anzengruber,Ludwig Gruber,Ludwig Anzengruber,Österreich,1839,1889,male,"geb. im Wien, gest. in Wien;  bedeutender realistischer Dramatiker",11850357X ,Die Märchen des Steinklopferhanns,Anzengruber_Ludwig_Dorfgaenge_ Die_Märchen_des_Steinklopferhanns.txt,1879,Erzählung,ja,"Eisenbahn, dös war also die Mähmaschin",ja,Wien,Österreich,23844,19724
Anzengruber_Ludwig_Dorfgaenge_Die_Heimkehr.txt,14,49,gutenberg,Ludwig,Anzengruber,Ludwig Anzengruber,Ludwig Gruber,Ludwig Anzengruber,Österreich,1839,1889,male,"geb. im Wien, gest. in Wien;  bedeutender realistischer Dramatiker",11850357X ,Die Heimkehr,Anzengruber_Ludwig_Dorfgaenge_Die_Heimkehr.txt,1879,Erzählung,ja,"Bahnbau, Zigarre, Kaiser",ja,"So legte er in einer ziemlich geraumen Zeit die unter anderen Verhältnissen kurze Strecke bis Elberfeld zurück, Holundersträuche",Österreich,15003,12399
Anzengruber_Ludwig_Dorfgaenge_Unter_schwerer_Anklage.txt,15,49,gutenberg,Ludwig,Anzengruber,Ludwig Anzengruber,Ludwig Gruber,Ludwig Anzengruber,Österreich,1839,1889,male,"geb. im Wien, gest. in Wien;  bedeutender realistischer Dramatiker",11850357X ,Unter schwerer Anklage,Anzengruber_Ludwig_Dorfgaenge_Unter_schwerer_Anklage.txt,1879,Erzählung,ja,Ganz recht. Da steht: P. K. 1878.,ja,"Lottoziehungen von Wien, Linz, Graz, Prag und aller Welt , (Die Geburtsstunde des heutigen Zahlenlotto schlug 1620 in Genua )",Österreich,12253,10417
Anzengruber_Ludwig_Kalendergeschichten_Der_Verschollene.txt,16,51,gutenberg,Ludwig,Anzengruber,Ludwig Anzengruber,Ludwig Gruber,Ludwig Anzengruber,Österreich,1839,1889,male,"geb. im Wien, gest. in Wien;  bedeutender realistischer Dramatiker",11850357X ,Der Verschollene,Anzengruber_Ludwig_Kalendergeschichten_Der_Verschollene.txt,1894,Erzählung,ja,"eine Taschenuhr (Gegen Mitte des 19. Jahrhunderts setzte die industrielle Herstellung von Taschenuhren ein. Auch wenn dadurch die Preise sanken und somit nicht mehr nur die wohlhabendsten Schichten eine Taschenuhr anschaffen konnten, blieb sie nach wie vor ein Statussymbol.)",ja,Tirolerland ,Österreich,8699,7497
Arnold_Hans_Amicitia.txt,17,0,gartenlaube,Clara Bertha Friederike,von Bülow,Clara Bertha Friederike „Babette“ von Bülow,Hans Arnold,Hans Arnold,Deutschland,1850,1927,female,"geb. in Warmbrunn, Niederschlesien; gest. in Arendsee; deutsche Autorin von Novellen, Lustspielen und Schwänken.",1279882808,Amicitia,Arnold_Hans_Amicitia.txt,1888,Erzählung,ja,"Champagner, fünfhundert Thaler, Cigarre, Verein",ja,"Die beiden Jungen, Karl und Eduard, welche die Tertia und Quinta des Gymnasiums durch ihre Anwesenheit verschönten,  , fünfzig Pfennig Eintrittsgeld  , Er setzte sich sofort hin, um eine Karte an die Thierhandlung von Hagenbeck in Hamburg zu expediren und sich über seine möglichen Ausgaben zu unterrichten. In die Nähe der Thierbude wagte er sich gar nicht mehr, da er immer fürchtete, gerade zu gefährlichen Krankheitserscheinungen „seines“ Elefanten zurecht zu kommen.",Deutschland,11023,9790
Arnold_Hans_Eine_kleine_Vergnuegungsreise.txt,18,0,gartenlaube,Clara Bertha Friederike,von Bülow,Clara Bertha Friederike „Babette“ von Bülow,Hans Arnold,Hans Arnold,Deutschland,1850,1927,female,"geb. in Warmbrunn, Niederschlesien; gest. in Arendsee; deutsche Autorin von Novellen, Lustspielen und Schwänken.",1279882808,Eine kleine Vergnügungsreise,Arnold_Hans_Eine_kleine_Vergnuegungsreise.txt,1889,Erzählung,ja,Bahnhof,ja,"Friedrichstraße, Berlin",Deutschland,17601,15399
Aston_Louise_Lydia.txt,19,0,gutenberg,Louise Franziska,Aston,Louise Franziska Aston,"Louise Franziska Aston, Meier, Hoche",Louise Aston,Deutschland,1814,1871,female,"geb. in Grönigen, gest. in Wangen im Allgäu; emanzipierte, auch politische Schriftstellerin, Herrenkleidung, Zigarren, 1855-57 in Russland; gilt als eine der radikalen Verfechterinnen der Rechte der Frau und verehrte George Sand",118650769,Lydia,Aston_Louise_Lydia.txt,1850,Roman,ja,"Cigarre, Eisenbahn, Kaiserstadt",ja,deutschen Bäder ,Deutschland,61815,53673
Auerbach_Berthold_Barfuessele.txt,20,0,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Barfüßele,Auerbach_Berthold_Barfuessele.txt,1856,Erzählung,ja,Dampfschiff,ja,"Bodensee, Bern, Schwarzwald",Deutschland/Schweiz,76666,65250
Auerbach_Berthold_Brosi_und_Moni.txt,21,0,zeno,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Brosi und Mosi,Auerbach_Berthold_Brosi_und_Moni.txt,1852,Erzählung,ja,Eisenbahnen,ja,in der ganzen Umgegend von Haldenbrunn,Deutschland ,46710,40858
Auerbach_Berthold_Der_Lehnhold.txt,22,0,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Der Lehnhold,Auerbach_Berthold_Der_Lehnhold.txt,1853,Erzählung,ja,"Die Gleise, Cigarre, im Jahr 1848,daß er gegen die Zerstückelung Deutschlands",ja,"Deutschlands, Bern, RHein, Schleswig, Reichenbach, Freiburg",Schweiz/Deutschland,66046,57818
Auerbach_Berthold_Der_Viereckig_oder.txt,23,0,zeno,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Der Viereckig oder die amerikanische Kiste,Auerbach_Berthold_Der_Viereckig_oder.txt,1852,Erzählung,ja,"Dampfwagen,  »Nach Amerika!« ",ja,"Schwarzwald, Das war ein unbändiges Gelächter am Rottweiler Markt , elsässer-französisch",Deutschland,23129,20240
Auerbach_Berthold_Die_Geschichte_des_Diethelm.txt,24,0,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Die Geschichte des Diethelm,Auerbach_Berthold_Die_Geschichte_des_Diethelm.txt,1852,Erzählung,ja,Bahnhof,ja,in Friedrichshafen am Bodensee ,Deutschland ,75448,64995
Auerbach_Berthold_Drei_einzige_Toechter_Auf_Wache.txt,25,59,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Auf Wache,Auerbach_Berthold_Drei_einzige_Toechter_Auf_Wache.txt,1875,Novelle,ja,"Cotillon, Ball",ja,die Deutschen und die Italiener seien nicht zum Staatsleben geeignet,Österreich,6160,5275
Auerbach_Berthold_Drei_einzige_Toechter_Der_Fels_der_Ehrenlegion.txt,26,60,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Der Fels der Ehrenlegion,Auerbach_Berthold_Drei_einzige_Toechter_Der_Fels_der_Ehrenlegion.txt,1875,Novelle,ja,Eisenbahn,ja,eine Art modischen Tirolerhutes,Österreich,22074,19018
Auerbach_Berthold_Drei_einzige_Toechter_Nannchen_von_Mainz.txt,27,61,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Nannchen von Mainz,Auerbach_Berthold_Drei_einzige_Toechter_Nannchen_von_Mainz.txt,1875,Erzählung,ja,"Eisenbahn, die Abgesandten des Deutschen Reichstages von Frankfurt nach Köln",ja,"am Rhein, er kann die hochdeutsche Sprache der Preußen nicht leiden, , daß Nannchen einen Preußen zum Geliebten habe",Deutschland,15056,12915
Auerbach_Berthold_Ein_eigen_Haus.txt,28,0,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Ein eigen Haus,Auerbach_Berthold_Ein_eigen_Haus.txt,1861,Erzählung,ja,"Bau der Panama-Eisenbahn, elektrisch",ja,"für Schweizer Fabriken, die ihre Gewerbthätigkeit immer tiefer in das Grenzland herein ausdehnen, hinab den Bergwald nach Weitingen (Württemberg)",Deutschland,20405,17716
Auerbach_Berthold_Erdmuthe.txt,29,0,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Erdmuthe,Auerbach_Berthold_Erdmuthe.txt,1861,Erzählung,ja,Eisenbahn,ja,"Sonnenwirthshaus in Leutershofen, Schwabenland ",Deutschland ,24493,21319
Auerbach_Berthold_Hopfen_und_Gerste.txt,30,0,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Hopfen und Gerste,Auerbach_Berthold_Hopfen_und_Gerste.txt,1865,Erzählung,ja,Zigarren ,ja,"Pudelkappe (schwäbisch), an des Schultheißen Haus, die neubacknen Bretzeln, Amtsstadt",Deutschland,10721,9420
Auerbach_Berthold_Landolin_von_Reutershoefen.txt,31,62,gutenberg,Berthold,Auerbach,Berthold Auerbach,"Moses Baruch Auerbacher, Theobald Chauber",Berthold Auerbach,Deutschland,1812,1882,male,"geb. in Nordstetten/Horb, gest. in Cannes/FR; Mitarbeiter Zeitschrift ""Europa"", radikalliberale Ideen, realistisch-idyllische Heimatbilder, liberale Volksaufklärung",11865103X,Landolin von Reutershöfen,Auerbach_Berthold_Landolin_von_Reutershoefen.txt,1878,Roman,ja,July 1870,ja,Kreisgerichtsrath,Deutschland,69435,59216
Augusti_Brigitte_Maedchenlose.txt,32,63,gutenberg,Auguste,Plehn,Auguste Plehn,"Brigitte Augusti ; Auguste Plehn, geb. Bresler ",Brigitte Augusti,Deutschland,1839,1930,female,geb. und gest. in Danzig; Mädchenliteratur,1183333269,Mädchenlose,Augusti_Brigitte_Maedchenlose.txt,1882,Erzählung,ja,"Eisenbahn, engagierte mich zum ersten Walzer und – zum Cotillon",ja,Karlsberg bei Berlin,Deutschland,51148,44304
Bahr_Hermann_Die_Rahl.txt,33,66,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Die Rahl,Bahr_Hermann_Die_Rahl.txt,1908,Roman,ja,Zigaretten,ja,Wien,Österreich,92041,77128
Bahr_Hermann_Himmelfahrt.txt,34,67,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Himmelfahrt,Bahr_Hermann_Himmelfahrt.txt,1916,Roman,ja,"Bahnhof, In dem ruhig rollenden Zug schlief er wirklich halb ein",ja,"Wien, Bern, Rhein, Böhmen, Lübeck",Deutschland/Österreich,107045,90727
Bahr_Hermann_Leander_Der_verstaendige_Herr.txt,35,70,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Der verständige Herr,Bahr_Hermann_Leander_Der_verstaendige_Herr.txt,1899,Erzählung,ja,"Am Ende war er halt doch ein verkappter deutscher Professor, sie deklamiert mir Baudelaire",ja,wo man über das Wäldchen weg nach der schimmernden Eiffel sieht,Deutschland/Elsass,2720,2318
Bahr_Hermann_Leander_Die_treue_Adele.txt,36,71,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Die treue Adele,Bahr_Hermann_Leander_Die_treue_Adele.txt,1899,Erzählung,ja,"Drehorgel, Sie rieb sich das Näschen an der Fensterscheibe, als ihm das dritte Zündhölzchen versagte (Frühe Zündhölzer entstanden zwischen 1780 und 1830 )",ja,"Und er zog auch schon lange genug auf den Hochschulen umher, daß er es wohl verdiente, und überall, in ganz Deutschland, jedes Halbjahr woanders, Nord und Süd.",Deutschland,4129,3439
Bahr_Hermann_Leander_Dora.txt,37,72,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Dora,Bahr_Hermann_Leander_Dora.txt,1893,Erzählung,ja,Eisenbahn,ja,Eine Wiener Geschichte,Österreich,21953,18628
Bahr_Hermann_Leander_Leander.txt,38,73,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Leander,Bahr_Hermann_Leander_Leander.txt,1899,Erzählung,ja,Bahnhof,ja,Amstetten,Deutschland,19137,16200
Bahr_Hermann_Leander_Lenke.txt,39,74,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Lenke,Bahr_Hermann_Leander_Lenke.txt,1899,Erzählung,ja,"Schulrat, kaiserlicher Offizier",ja,"Wien, Karlsbad",Österreich,10586,8930
Bahr_Hermann_Leander_Wirkung_in_die_Ferne.txt,40,77,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Wirkung in die Ferne,Bahr_Hermann_Leander_Wirkung_in_die_Ferne.txt,1899,Erzählung,ja,um den Expreß nach Innsbruck zu benützen,ja,wie man das in Wien nennt,Österreich,9564,8226
Bahr_Hermann_O_Mensch.txt,41,78,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,O Mensch!,Bahr_Hermann_O_Mensch.txt,1910,Roman,ja,"Napoleon, Elektrischen",ja,Salzburg,Österreich,92300,77963
Bahr_Hermann_Theater.txt,42,79,gutenberg,Hermann Anastas,Bahr,Hermann Anastas Bahr,-,Hermann Bahr,Österreich,1863,1934,male,"geb. in Linz, Kaisertum Österreich; gest. in München; österreichischer Schriftsteller, Dramatiker sowie Theater- und Literaturkritiker; gilt als geistreicher Wortführer bürgerlich-literarischer Strömungen vom Naturalismus über die Wiener Moderne bis hin zum Expressionismus",118505955,Theater,Bahr_Hermann_Theater.txt,1897,Roman,ja,Eisenbahn,ja,Ein Wiener Roman,Österreich,52055,44487
Ball_Hugo_Flammetti.txt,43,80,textgrid,Hugo,Ball,Hugo Ball,-,Hugo Ball,Deutschland,1886,1927,male,"geb. in Pirmasens, gest. in Sant’Abbondio-Gentilino; Schweizdeutscher Autor und Mitbegründer der Zürcher Dada-Bewegung",118506234,Flammetti,Ball_Hugo_Flammetti.txt,1918,Roman,ja,Bahnhof,ja,"Bern, Zürich, Basel",Schweiz,58856,49211
Barlach_Ernst_Seespeck.txt,44,103,gutenberg,Ernst,Barlach,Ernst Barlach,-,Ernst Barlach,Deutschland,1870,1938,male,"geb. in Wedel/Holst., gest. in Rostock; Bildhauer, Graphiker, Russlandreise; Expressionismus, ",118506617,Seespeck,Barlach_Ernst_Seespeck.txt,1920,Roman,ja,Am Geburtstage des Kaisers,ja,Lüneburger Heide,Deutschland,68257,59833
Baumbach_Rudolf_Aus_der_Jugendzeit_Das_Habichtsfraeulein.txt,45,104,gutenberg,Rudolf,Baumbach,Rudolf Baumbach,Paul Bach ,Rudolf Baumbach,Deutschland ,1840,1905,male,"geb. in Kranichfeld/Ilm, gest. in Meiningen; Vertreter der von den Naturalisten verspotteten ""Butzenscheibenlyrik"" (Wilpert 1976: 47)",118653857,Das Habichtsfräulein,Baumbach_Rudolf_Aus_der_Jugendzeit_Das_Habichtsfraeulein.txt,1893,Novelle,ja,Eisenbahn,ja,"am Fuße des Donnersbergs, die Spitzen des Bielsteins und des Drachenbergs; Deutschland, Kaiser, Sommerau",Deutschland,32547,28061
