Text,unvollständig Goldstandard,unvollständig Goldstandard LL,Alina,Alina LL,Svenja,Svenja LL,dictionary anno
"zog es aber gleich zurück,",0,0,0,0,0,0,0
"denn bei der Berührung umwehten ihn Kälteschauer,",0,0,0,0,0,0,0
"Er glitt wieder in seine frühere Lage zurück,",0,0,0,0,0,0,0
"Dies frühzeitige Aufstehen macht einen ganz  blödsinnig,",0,0,0,0,0,0,0
"dachte er,",0,0,0,0,0,0,0
"Der Mensch muß seinen Schlaf haben,",0,0,0,0,0,0,0
"Andere Reisende leben wie Haremsfrauen,",0,0,0,0,0,0,0
"Wenn ich zum  Beispiel im Laufe des Vormittags ins Gasthaus zurückgehe, um die erlangten Aufträge zu überschreiben,",0,0,0,0,0,0,0
"sitzen diese Herren erst beim Frühstück,",0,0,0,0,0,0,0
"Das sollte ich bei meinem Chef versuchen,",0,0,0,0,0,0,0
"ich würde auf der  Stelle hinausfliegen,",0,0,0,0,0,0,0
"Wer weiß übrigens,",0,0,0,0,0,0,0
"ob das nicht sehr gut für mich wäre,",0,0,0,0,0,0,0
"Wenn ich mich nicht wegen  meiner Eltern zurückhielte,",0,0,0,0,0,0,0
"ich hätte längst gekündigt,",0,0,0,0,0,0,0
"ich wäre vor den Chef hin getreten,",0,0,0,0,0,0,0
"und hätte ihm  meine Meinung von Grund des Herzens aus gesagt,",0,0,0,0,0,0,0
"Vom Pult hätte er fallen müssen,",0,0,0,0,0,0,0
"Es ist auch eine  sonderbare Art, sich auf das Pult zu setzen und von der Höhe herab mit dem Angestellten zu reden,",0,0,0,0,0,0,0
"der  überdies wegen der Schwerhörigkeit des Chefs ganz nahe herantreten muß,",0,0,0,0,0,0,0
"Nun,",0,0,0,0,0,0,0
"die Hoffnung ist noch nicht  gänzlich aufgegeben,",0,0,0,0,0,0,0
"habe ich einmal das Geld beisammen, um die Schuld der Eltern an ihn abzuzahlen,",0,0,0,0,0,0,0
"es  dürfte noch fünf bis sechs Jahre dauern,",0,0,0,0,0,0,0
"mache ich die Sache unbedingt,",0,0,0,0,0,0,0
"Dann wird der große Schnitt  gemacht,",0,0,0,0,0,0,0
"Vorläufig allerdings muß ich aufstehen,",0,0,0,0,0,0,0
"denn mein Zug fährt um fünf,",0,0,0,0,0,0,0
"Und er sah zur Weckuhr hinüber,",0,0,0,0,0,0,0
"die auf dem Kasten tickte,",2,2,0,0,1,2,2
"Himmlischer Vater,",0,0,0,0,0,0,0
"dachte er,",0,0,0,0,0,0,0
"Es war halb sieben Uhr,",0,0,0,0,0,0,0
"und die  Zeiger gingen ruhig vorwärts,",2,1,0,0,1,1,1
"es war sogar halb vorüber,",0,0,0,0,0,0,0
"es näherte  sich schon dreiviertel,",0,0,0,0,0,0,0
"Sollte der Wecker nicht geläutet haben,",0,0,0,0,0,0,0
"Man sah vom Bett aus,",0,0,0,0,0,0,0
"daß er auf vier Uhr richtig eingestellt war,",0,0,0,0,0,0,0
"gewiß hatte er auch geläutet,",2,4,1,4,1,4,0
"Ja,",0,0,0,0,0,0,0
"aber war es möglich, dieses möbelerschütternde Läuten ruhig zu verschlafen,",0,0,0,0,0,0,0
"Nun,",0,0,0,0,0,0,0
"ruhig hatte er ja nicht geschlafen,",0,0,0,0,0,0,0
"aber wahrscheinlich desto fester,",0,0,0,0,0,0,0
"Was aber sollte er jetzt tun,",0,0,0,0,0,0,0
"Der  nächste Zug ging um sieben Uhr,",0,0,0,0,0,0,0
"um den einzuholen, hätte er sich unsinnig beeilen müssen,",0,0,0,0,0,0,0
"und die Kollektion  war noch nicht eingepackt,",0,0,0,0,0,0,0
"und er selbst fühlte sich durchaus nicht besonders frisch und beweglich,",0,0,0,0,0,0,0
"Und  selbst wenn er den Zug einholte,",0,0,0,0,0,0,0
"ein Donnerwetter des Chefs war nicht zu vermeiden,",0,0,0,0,0,0,0
"denn der Geschäftsdiener  hatte beim Fünfuhrzug gewartet,",0,0,0,0,0,0,0
"und die Meldung von seiner Versäumnis längst erstattet,",0,0,0,0,0,0,0
"Es war eine Kreatur  des Chefs, ohne Rückgrat und Verstand,",0,0,0,0,0,0,0
"Wie nun,",0,0,0,0,0,0,0
"wenn er sich krank meldete,",0,0,0,0,0,0,0
"Das war aber äußerst peinlich und  verdächtig,",0,0,0,0,0,0,0
"denn Gregor war während seines fünfjährigen Dienstes noch nicht einmal krank gewesen,",0,0,0,0,0,0,0
"Gewiß  würde der Chef mit dem Krankenkassenarzt kommen,",0,0,0,0,0,0,0
"würde den Eltern wegen des faulen Sohnes Vorwürfe machen,",0,0,0,0,0,0,0
"und  alle Einwände durch den Hinweis auf den Krankenkassenarzt abschneiden,",0,0,0,0,0,0,0
"für den es ja überhaupt nur ganz  gesunde, aber arbeitsscheue Menschen gibt,",0,0,0,0,0,0,0
"Und hätte er übrigens in diesem Falle so ganz unrecht,",0,0,0,0,0,0,0
"Gregor  fühlte sich tatsächlich, abgesehen von einer nach dem langen Schlaf wirklich überflüssigen Schläfrigkeit,  ganz wohl,",0,0,0,0,0,0,0
"und hatte sogar einen besonders kräftigen Hunger,",0,0,0,0,0,0,0
"Als er dies alles in größter Eile überlegte, ohne sich entschließen zu können, das Bett zu verlassen,",0,0,0,0,0,0,0
"gerade  schlug der Wecker dreiviertel sieben,",0,0,1,4,1,4,4
"klopfte es vorsichtig an die Tür am Kopfende seines Bettes,",0,0,1,3,1,2,4
"Gregor,",0,0,0,0,0,0,0
"rief es,",0,0,1,4,1,4,4
"es war die Mutter,",0,0,0,0,0,0,0
"es ist dreiviertel sieben,",0,0,0,0,0,0,0
"Wolltest du nicht wegfahren,",0,0,0,0,0,0,0
"Die sanfte Stimme,",0,0,0,0,1,2,2.5
"Gregor erschrak,",0,0,0,0,0,0,0
"als er seine antwortende Stimme hörte,",0,0,1,3,1,3,3
"die wohl unverkennbar seine frühere war,",0,0,0,0,0,0,0
"in die sich  aber, wie von unten her, ein nicht zu unterdrückendes, schmerzliches Piepsen mischte,",0,0,1,3,1,2,3
"das die Worte förmlich  nur im ersten Augenblick in ihrer Deutlichkeit beließ, um sie im Nachklang derart zu zerstören,",0,0,1,3,0,0,0
"daß man nicht  wußte,",0,0,0,0,0,0,0
"ob man recht gehört hatte,",0,0,0,0,0,0,0
"Gregor hatte ausführlich antworten,",0,0,0,0,0,0,0
"und alles erklären wollen,",0,0,0,0,0,0,0
"beschränkte sich aber bei diesen Umständen darauf, zu sagen,",0,0,1,3,1,3,0
"Ja, ja,",0,0,0,0,0,0,0
"danke Mutter,",0,0,0,0,0,0,0
"ich stehe schon auf,",0,0,0,0,0,0,0
"Infolge der Holztür war die Veränderung in Gregors Stimme draußen wohl nicht zu merken,",0,0,0,0,0,0,0
"denn die Mutter  beruhigte sich mit dieser Erklärung,",0,0,0,0,0,0,0
"und schlürfte davon,",0,0,1,3,1,2,2
"Aber durch das kleine Gespräch waren die anderen  Familienmitglieder darauf aufmerksam geworden,",0,0,1,3,0,0,0
"daß Gregor wider Erwarten noch zu Hause war,",0,0,0,0,0,0,0
"und schon  klopfte an der einen Seitentür der Vater,",0,0,1,3,1,3,4
"schwach, aber schon mit der Faust,",0,0,1,3,1,3,4
"Gregor, Gregor,",0,0,0,0,0,0,0
"rief er,",0,0,1,4,1,4,4
"was ist denn,",0,0,0,0,0,0,0
"Und nach einer kleinen Weile mahnte er nochmals mit tieferer Stimme,",0,0,1,3,1,3,3
"Gregor,",0,0,0,0,0,0,0
"Gregor,",0,0,0,0,0,0,0
"An  der anderen Seitentür aber klagte leise die Schwester,",0,0,1,2,1,2,2.5
"Gregor,",0,0,0,0,0,0,0
"Ist dir nicht wohl,",0,0,0,0,0,0,0
"Brauchst du etwas,",0,0,0,0,0,0,0
"Nach beiden Seiten hin antwortete Gregor,",0,0,1,3,1,3,3
"Bin schon fertig,",0,0,0,0,0,0,0
"und bemühte sich, durch die sorgfältigste  Aussprache und durch Einschaltung von langen Pausen zwischen den einzelnen Worten seiner Stimme alles  Auffallende zu nehmen,",0,0,1,3,0,0,0
"Der Vater kehrte auch zu seinem Frühstück zurück,",0,0,0,0,0,0,0
"die Schwester aber flüsterte,",0,0,1,2,1,2,2
"Gregor, mach auf,",0,0,0,0,0,0,0
"ich beschwöre dich,",0,0,0,0,0,0,0
"Gregor aber dachte gar nicht daran aufzumachen,",0,0,0,0,0,0,0
"sondern lobte die  vom Reisen her übernommene Vorsicht, auch zu Hause alle Türen während der Nacht zu versperren,",0,0,0,0,0,0,0
"Zunächst wollte er ruhig und ungestört aufstehen,",0,0,0,0,0,0,0
"sich anziehen,",0,0,0,0,0,0,0
"und vor allem frühstücken,",0,0,0,0,0,0,0
"und dann erst  das Weitere überlegen,",0,0,0,0,0,0,0
"denn im Bett würde er mit dem Nachdenken zu keinem  vernünftigen Ende kommen,",0,0,0,0,0,0,0
"das merkte er wohl,",0,0,0,0,0,0,0
"Er erinnerte sich, schon öfters im Bett irgendeinen vielleicht durch  ungeschicktes Liegen erzeugten, leichten Schmerz empfunden zu haben,",0,0,0,0,0,0,0
"der sich dann beim Aufstehen als  reine Einbildung herausstellte,",0,0,0,0,0,0,0
"und er war gespannt,",0,0,0,0,0,0,0
"wie sich seine heutigen Vorstellungen allmählich  auflösen würden,",0,0,0,0,0,0,0
"Daß die Veränderung der Stimme nichts anderes war, als der Vorbote einer tüchtigen  Verkühlung, einer Berufskrankheit der Reisenden,",0,0,0,0,0,0,0
"daran zweifelte er nicht im geringsten,",0,0,0,0,0,0,0
"Die Decke abzuwerfen war ganz einfach,",0,0,0,0,0,0,0
"er brauchte sich nur ein wenig aufzublasen,",0,0,0,0,0,0,0
"und sie fiel von selbst,",0,0,0,0,0,0,0
"Aber weiterhin wurde es schwierig,",0,0,0,0,0,0,0
"besonders weil er so ungemein breit war,",0,0,0,0,0,0,0
"Er hätte Arme und Hände  gebraucht, um sich aufzurichten,",0,0,0,0,0,0,0
"statt dessen aber hatte er nur die vielen Beinchen,",0,0,0,0,0,0,0
"die ununterbrochen in der verschiedensten Bewegung waren,",0,0,0,0,0,0,0
"und die er  überdies nicht beherrschen konnte,",0,0,0,0,0,0,0
"Wollte er eines einmal einknicken,",0,0,0,0,0,0,0
"so war es das erste,",0,0,0,0,0,0,0
"daß es sich  streckte,",0,0,0,0,0,0,0
"und gelang es ihm endlich, mit diesem Bein das auszuführen,",0,0,0,0,0,0,0
"was er wollte,",0,0,0,0,0,0,0
"so arbeiteten  inzwischen alle anderen, wie freigelassen, in höchster, schmerzlicher Aufregung,",0,0,0,0,0,0,0
"Nur sich nicht im Bett  unnütz aufhalten,",0,0,0,0,0,0,0
"sagte sich Gregor,",0,0,0,0,0,0,0
"Zuerst wollte er mit dem unteren Teil seines Körpers aus dem Bett hinauskommen,",0,0,0,0,0,0,0
"aber dieser  untere Teil erwies sich als zu schwer beweglich,",0,0,0,0,0,0,0
"den er übrigens noch nicht gesehen,",0,0,0,0,0,0,0
"und von dem er sich auch keine rechte  Vorstellung machen konnte,",0,0,0,0,0,0,0
"es ging so langsam,",0,0,0,0,0,0,0
"und als  er schließlich, fast wild geworden, mit gesammelter Kraft, ohne Rücksicht sich  vorwärtsstieß,",0,0,0,0,0,0,0
"hatte er die Richtung falsch gewählt,",0,0,0,0,0,0,0
"schlug an den unteren Bettpfosten  heftig an,",0,0,1,3,1,4,4
"und der brennende Schmerz belehrte ihn,",0,0,0,0,0,0,0
"den er empfand,",0,0,0,0,0,0,0
"daß gerade der untere  Teil seines Körpers augenblicklich vielleicht der empfindlichste war,",0,0,0,0,0,0,0
"Er versuchte es daher, zuerst den Oberkörper aus dem Bett zu bekommen,",0,0,0,0,0,0,0
"und drehte vorsichtig  den Kopf dem Bettrand zu,",0,0,0,0,0,0,0
"Dies gelang auch leicht,",0,0,0,0,0,0,0
"und trotz ihrer Breite und Schwere  folgte schließlich die Körpermasse langsam der Wendung des Kopfes,",0,0,0,0,0,0,0
"Aber als er den Kopf  endlich außerhalb des Bettes in der freien Luft hielt,",0,0,0,0,0,0,0
"bekam er Angst, weiter auf diese  Weise vorzurücken,",0,0,0,0,0,0,0
"denn wenn er sich schließlich so fallen ließ,",0,0,0,0,0,0,0
"mußte geradezu ein Wunder  geschehen,",0,0,0,0,0,0,0
"wenn der Kopf nicht verletzt werden sollte,",0,0,0,0,0,0,0
"Und die Besinnung durfte er gerade  jetzt um keinen Preis verlieren,",0,0,0,0,0,0,0
"da wollte er lieber im Bett bleiben,",0,0,0,0,0,0,0
"Aber als er wieder nach gleicher Mühe aufseufzend so dalag wie früher,",0,0,1,3,1,3,0
"und wieder seine  Beinchen womöglich noch ärger gegeneinander kämpfen sah,",0,0,0,0,0,0,0
"und keine Möglichkeit fand, in diese  Willkür Ruhe und Ordnung zu bringen,",0,0,0,0,0,0,0
"sagte er sich wieder,",0,0,0,0,0,0,0
"daß er unmöglich im Bett bleiben  könne,",0,0,0,0,0,0,0
"und daß es das Vernünftigste sei, alles zu opfern,",0,0,0,0,0,0,0
"wenn auch nur die kleinste  Hoffnung bestünde, sich dadurch vom Bett zu befreien,",0,0,0,0,0,0,0
"Gleichzeitig aber vergaß er nicht, sich zwischendurch daran zu erinnern,",0,0,0,0,0,0,0
"daß viel besser  als verzweifelte Entschlüsse ruhige und ruhigste Überlegung sei,",0,0,0,0,0,0,0
"In solchen Augenblicken richtete er die  Augen möglichst scharf auf das Fenster,",0,0,0,0,0,0,0
"aber leider war aus dem Anblick des Morgennebels wenig  Zuversicht und Munterkeit zu holen,",0,0,0,0,0,0,0
"der sogar die andere Seite der engen Straße verhüllte,",0,0,0,0,0,0,0
"Schon sieben Uhr,",0,0,0,0,0,0,0
"sagte er sich beim neuerlichen Schlagen  des Weckers,",0,0,1,4,1,4,3
"schon sieben Uhr,",0,0,0,0,0,0,0
"und noch immer ein solcher Nebel,",0,0,0,0,0,0,0
"Und ein Weilchen lang lag er ruhig mit  schwachem Atem,",0,0,1,S,1,1,1.7
"als erwarte er vielleicht von der völligen Stille die Wiederkehr der wirklichen und  selbstverständlichen Verhältnisse,",0,0,1,S,1,6,0
"Dann aber sagte er sich,",0,0,0,0,0,0,0
"Ehe es einviertel acht schlägt,",0,0,0,0,0,0,0
"muß ich unbedingt das Bett vollständig  verlassen haben,",0,0,0,0,0,0,0
"Im übrigen wird auch bis dahin jemand aus dem Geschäft kommen, um nach mir zu fragen,",0,0,0,0,0,0,0
"denn das Geschäft wird vor sieben Uhr geöffnet,",0,0,0,0,0,0,0
"Und er machte sich nun daran, den Körper in seiner  ganzen Länge vollständig gleichmäßig aus dem Bett hinauszuschaukeln,",0,0,0,0,0,0,0
"Wenn er sich auf diese Weise aus  dem Bett fallen ließ,",0,0,0,0,0,0,0
"blieb der Kopf voraussichtlich unverletzt,",0,0,0,0,0,0,0
"den er beim Fall scharf heben wollte,",0,0,0,0,0,0,0
"Der Rücken schien hart zu sein,",0,0,0,0,0,0,0
"dem würde wohl bei dem Fall auf den Teppich nichts geschehen,",0,0,0,0,0,0,0
"Das größte  Bedenken machte ihm die Rücksicht auf den lauten Krach,",0,0,0,0,0,0,0
"den es geben müßte,",0,0,0,0,0,0,0
"und der wahrscheinlich  hinter allen Türen wenn nicht Schrecken, so doch Besorgnisse erregen würde,",0,0,0,0,0,0,0
"Das mußte aber gewagt  werden,",0,0,0,0,0,0,0
"Als Gregor schon zur Hälfte aus dem Bette ragte,",0,0,0,0,0,0,0
"die neue Methode war mehr ein Spiel als eine  Anstrengung,",0,0,0,0,0,0,0
"er brauchte immer nur ruckweise zu schaukeln,",0,0,0,0,0,0,0
"fiel ihm ein,",0,0,0,0,0,0,0
"wie einfach alles wäre,",0,0,0,0,0,0,0
"wenn  man ihm zu Hilfe käme,",0,0,0,0,0,0,0
"Zwei starke Leute hätten  vollständig genügt,",0,0,0,0,0,0,0
"er dachte an seinen Vater und das  Dienstmädchen,",0,0,0,0,0,0,0
"sie hätten ihre  Arme nur unter seinen gewölbten Rücken schieben,",0,0,0,0,0,0,0
"ihn so aus  dem Bett schälen,",0,0,0,0,0,0,0
"sich mit der Last niederbeugen,",0,0,0,0,0,0,0
"und dann  bloß vorsichtig dulden müssen,",0,0,0,0,0,0,0
"daß er den Überschwung auf  dem Fußboden vollzog,",0,0,0,0,0,0,0
"wo dann die Beinchen hoffentlich  einen Sinn bekommen würden,",0,0,0,0,0,0,0
"Nun,",0,0,0,0,0,0,0
"ganz abgesehen davon,",0,0,0,0,0,0,0
"daß  die Türen versperrt waren,",0,0,0,0,0,0,0
"hätte er wirklich um Hilfe rufen  sollen,",0,0,0,0,0,0,0
"Trotz aller Not  konnte er bei diesem Gedanken ein Lächeln nicht unterdrücken,",0,0,0,0,0,0,0
"Schon war er so weit,",0,0,0,0,0,0,0
"daß er bei stärkerem Schaukeln kaum das Gleichgewicht noch erhielt,",0,0,0,0,0,0,0
"und sehr bald  mußte er sich nun endgültig entscheiden,",0,0,0,0,0,0,0
"denn es war in fünf Minuten einviertel acht,",0,0,0,0,0,0,0
"als es an der Wohnungstür läutete,",0,0,1,4,1,4,4
"Das ist jemand aus dem Geschäft,",0,0,0,0,0,0,0
"sagte er sich,",0,0,0,0,0,0,0
"und erstarrte fast,",0,0,0,0,0,0,0
"während seine Beinchen nur desto eiliger tanzten,",0,0,0,0,0,0,0
"Einen Augenblick blieb alles still,",0,0,1,S,1,6,6
"Sie öffnen  nicht,",0,0,0,0,0,0,0
"sagte sich Gregor, befangen in irgendeiner unsinnigen Hoffnung,",0,0,0,0,0,0,0
"Aber dann ging natürlich wie  immer das Dienstmädchen festen Schrittes zur Tür,",0,0,0,0,1,3,0
"und öffnete,",0,0,0,0,0,0,0
"Gregor brauchte nur das erste Grußwort des Besuchers zu hören,",0,0,1,3,1,3,0
"und wußte schon,",0,0,0,0,0,0,0
"wer es war,",0,0,0,0,0,0,0
"der Prokurist selbst,",0,0,0,0,0,0,0
"Warum war nur Gregor dazu  verurteilt, bei einer Firma zu dienen,",0,0,0,0,0,0,0
"wo man bei der kleinsten Versäumnis gleich den größten Verdacht  faßte,",0,0,0,0,0,0,0
"Waren denn alle Angestellten samt und sonders Lumpen,",0,0,0,0,0,0,0
"gab es denn unter ihnen keinen treuen  ergebenen Menschen,",0,0,0,0,0,0,0
"der vor Gewissensbissen närrisch wurde,",0,0,0,0,0,0,0
"wenn er auch nur ein paar Morgenstunden für das Geschäft nicht ausgenutzt  hatte,",0,0,0,0,0,0,0
"und geradezu nicht imstande war, das Bett zu verlassen,",0,0,0,0,0,0,0
"Genügte es wirklich nicht, einen Lehrjungen nachfragen zu lassen,",0,0,0,0,0,0,0
"wenn überhaupt diese Fragerei nötig  war,",0,0,0,0,0,0,0
"mußte da der Prokurist selbst kommen,",0,0,0,0,0,0,0
"und mußte dadurch der ganzen unschuldigen Familie gezeigt  werden,",0,0,0,0,0,0,0
"daß die Untersuchung dieser verdächtigen Angelegenheit nur dem Verstand des Prokuristen  anvertraut werden konnte,",0,0,0,0,0,0,0
"Und mehr infolge  der Erregung als infolge eines  richtigen Entschlusses, schwang er sich mit aller Macht aus dem Bett,",0,0,0,0,0,0,0
"in welche Gregor durch diese Überlegungen versetzt wurde,",0,0,0,0,0,0,0
"Es gab einen lauten  Schlag,",0,0,1,4,1,4,3.5
"aber ein eigentlicher Krach war es nicht,",0,0,0,0,0,0,0
"Ein wenig wurde der Fall durch den Teppich abgeschwächt,",0,0,0,0,0,0,0
"auch war der Rücken elastischer,",0,0,0,0,0,0,0
"als Gregor gedacht hatte,",0,0,0,0,0,0,0
"daher kam der nicht gar so auffallende dumpfe Klang,",0,0,1,3,1,3,2.5
"Nur den Kopf hatte er nicht vorsichtig genug gehalten,",0,0,0,0,0,0,0
"und ihn angeschlagen,",0,0,0,0,0,0,0
"er drehte ihn,",0,0,0,0,0,0,0
"und rieb ihn an dem Teppich vor Ärger und Schmerz,",0,0,0,0,0,0,0
"Da drin ist etwas gefallen,",0,0,0,0,0,0,0
"sagte der Prokurist im Nebenzimmer links,",0,0,1,3,1,3,3
"Gregor suchte sich  vorzustellen,",0,0,0,0,0,0,0
"ob nicht auch einmal dem Prokuristen etwas Ähnliches passieren könnte,",0,0,0,0,0,0,0
"wie  heute ihm,",0,0,0,0,0,0,0
"die Möglichkeit dessen mußte man doch eigentlich zugeben,",0,0,0,0,0,0,0
"Aber wie zur rohen  Antwort auf diese Frage machte jetzt der Prokurist im Nebenzimmer ein paar bestimmte  Schritte,",0,0,0,0,1,2,2.7
"und ließ seine Lackstiefel knarren,",0,0,1,3,1,3,4
"Aus dem Nebenzimmer rechts flüsterte die  Schwester, um Gregor zu verständigen,",0,0,1,2,1,2,2
"Gregor,",0,0,0,0,0,0,0
"der Prokurist ist da,",0,0,0,0,0,0,0
"Ich weiß,",0,0,0,0,0,0,0
"sagte Gregor vor sich hin,",0,0,0,0,1,2,3
"aber  so laut wagte er die Stimme nicht zu erheben,",0,0,0,0,0,0,0
"daß es die Schwester hätte hören können,",0,0,0,0,0,0,0
"Gregor,",0,0,0,0,0,0,0
"sagte nun der Vater aus dem Nebenzimmer links,",0,0,1,3,1,3,3
"der Herr Prokurist ist gekommen,",0,0,0,0,0,0,0
"und erkundigt sich,",0,0,1,3,1,3,3
"warum du nicht mit dem Frühzug weggefahren bist,",0,0,0,0,0,0,0
"Wir wissen nicht,",0,0,0,0,0,0,0
"was  wir ihm sagen sollen,",0,0,0,0,0,0,0
"Übrigens will er auch mit dir persönlich sprechen,",0,0,0,0,0,0,0
"Also bitte mach die  Tür auf,",0,0,0,0,0,0,0
"Er wird die Unordnung im Zimmer zu entschuldigen schon die Güte haben,",0,0,0,0,0,0,0
"Guten  Morgen, Herr Samsa,",0,0,0,0,0,0,0
"rief der Prokurist freundlich dazwischen,",0,0,1,4,1,4,4
"Ihm ist nicht wohl,",0,0,0,0,0,0,0
"sagte die Mutter zum Prokuristen,",0,0,1,3,1,3,3
"während der Vater noch an der Tür redete,",0,0,1,3,1,3,3
"ihm ist  nicht wohl,",0,0,0,0,0,0,0
"glauben Sie mir, Herr Prokurist,",0,0,0,0,0,0,0
"Wie würde denn Gregor sonst einen Zug versäumen,",0,0,0,0,0,0,0
"Der Junge hat  ja nichts im Kopf als das Geschäft,",0,0,0,0,0,0,0
"Ich ärgere mich schon fast,",0,0,0,0,0,0,0
"daß er abends niemals ausgeht,",0,0,0,0,0,0,0
"jetzt war er doch acht Tage in der Stadt,",0,0,0,0,0,0,0
"aber jeden Abend war er zu Hause,",0,0,0,0,0,0,0
"Da sitzt er  bei uns am Tisch,",0,0,0,0,0,0,0
"und liest still die Zeitung,",0,0,1,S,1,6,0
"oder studiert Fahrpläne,",0,0,0,0,0,0,0
"Es ist schon eine Zerstreuung für  ihn,",0,0,0,0,0,0,0
"wenn er sich mit Laubsägearbeiten beschäftigt,",0,0,0,0,0,0,0
"Da hat er zum Beispiel im Laufe von zwei, drei Abenden  einen kleinen Rahmen geschnitzt,",0,0,0,0,0,0,0
"Sie werden staunen,",0,0,0,0,0,0,0
"wie hübsch er ist,",0,0,0,0,0,0,0
"er hängt drin im Zimmer,",0,0,0,0,0,0,0
"Sie  werden ihn gleich sehen,",0,0,0,0,0,0,0
"bis Gregor aufmacht,",0,0,0,0,0,0,0
"Ich bin übrigens glücklich,",0,0,0,0,0,0,0
"daß Sie da sind, Herr Prokurist,",0,0,0,0,0,0,0
"wir allein hätten Gregor nicht dazu gebracht, die Tür zu öffnen,",0,0,0,0,0,0,0
"er ist so hartnäckig,",0,0,0,0,0,0,0
"und bestimmt ist  ihm nicht wohl,",0,0,0,0,0,0,0
"trotzdem er es am Morgen geleugnet hat,",0,0,0,0,0,0,0
